기간	대분류	분류	종합	가족	이웃	처음 만난 사람	다른 나라 사람	공공 기관
2011	서울시	서울시	5.23	8.69	5.81	3.25	3.25	5.14
2011	성별	남자	5.21	8.67	5.76	3.27	3.28	5.06
2011	성별	여자	5.24	8.7	5.85	3.23	3.21	5.21
2011	연령별	10대	5.23	8.8	5.63	3.24	3.34	5.12
2011	연령별	20대	5.19	8.71	5.57	3.28	3.3	5.06
2011	연령별	30대	5.22	8.78	5.78	3.22	3.3	5.01
2011	연령별	40대	5.19	8.65	5.84	3.2	3.24	5
2011	연령별	50대	5.3	8.64	5.96	3.38	3.34	5.21
2011	연령별	60대 이상	5.24	8.6	5.94	3.21	3.02	5.43
2011	학력별	중졸 이하	5.13	8.54	5.8	3.03	2.94	5.33
2011	학력별	고졸 이하	5.22	8.61	5.8	3.28	3.22	5.18
2011	학력별	대졸 이하	5.26	8.77	5.82	3.31	3.35	5.06
2011	학력별	대학원 이상	5.2	9.25	5.52	2.98	3.4	4.82
2011	소득별	100 만원 미만	5.03	8.23	5.29	3.11	3.03	5.46
2011	소득별	100-200만 미만	5.07	8.48	5.58	3.13	3.14	5
2011	소득별	200-300만 미만	5.21	8.58	5.73	3.33	3.27	5.13
2011	소득별	300-400만 미만	5.28	8.68	5.85	3.34	3.36	5.18
2011	소득별	400-500만 미만	5.3	8.72	5.93	3.38	3.36	5.1
2011	소득별	500만 이상	5.23	8.9	5.9	3.1	3.11	5.14
2011	혼인상태별	기혼	5.3	8.78	5.99	3.3	3.28	5.16
2011	혼인상태별	미혼	5.14	8.68	5.49	3.21	3.28	5.02
2011	혼인상태별	이혼/별거	4.84	7.87	5.21	2.99	2.98	5.14
2011	혼인상태별	사별	5.15	8.37	5.82	3.14	2.97	5.43
2011	지역대분류	도심권	5.28	8.34	6.17	3.39	3.23	5.26
2011	지역대분류	동북권	5.16	8.64	5.75	3.18	3.15	5.09
2011	지역대분류	서북권	4.99	8.83	5.56	2.78	2.82	4.98
2011	지역대분류	서남권	5.24	8.69	5.67	3.38	3.29	5.19
2011	지역대분류	동남권	5.41	8.77	6.13	3.41	3.57	5.19
2011	종로구	종로구	5.09	8.07	6.1	3.19	3.17	4.93
2011	중구	중구	5.34	8.47	5.95	3.49	3.27	5.5
2011	용산구	용산구	5.38	8.46	6.34	3.47	3.26	5.35
2011	성동구	성동구	4.64	7.48	5.39	3.15	2.69	4.52
2011	광진구	광진구	5.22	8.92	5.88	3.24	3.06	5.02
2011	동대문구	동대문구	5.32	8.63	5.77	3.09	3.27	5.86
2011	중랑구	중랑구	5.36	8.36	5.81	3.59	3.62	5.4
2011	성북구	성북구	5.26	8.9	6.08	2.78	2.75	5.78
2011	강북구	강북구	5.12	8.72	5.82	3.19	3.33	4.56
2011	도봉구	도봉구	5.08	8.84	5.82	3.19	2.93	4.64
2011	노원구	노원구	5.14	8.85	5.44	3.25	3.35	4.8
2011	은평구	은평구	5.11	8.98	6.03	2.73	2.78	5.03
2011	서대문구	서대문구	5.15	8.64	5.75	3.11	2.96	5.28
2011	마포구	마포구	4.72	8.79	4.79	2.56	2.77	4.67
2011	양천구	양천구	5.82	9.13	6.47	4.18	4.21	5.11
2011	강서구	강서구	4.6	8.64	4.66	2.52	2.58	4.62
2011	구로구	구로구	5.46	8.28	5.97	3.81	3.59	5.65
2011	금천구	금천구	4.94	8.87	5.21	2.92	2.98	4.71
2011	영등포구	영등포구	5.03	8.64	5.51	2.76	2.64	5.59
2011	동작구	동작구	5.68	8.62	6.47	4.16	3.74	5.4
2011	관악구	관악구	5.18	8.65	5.48	3.26	3.24	5.26
2011	서초구	서초구	5.53	8.92	6.36	3.58	3.5	5.31
2011	강남구	강남구	5.62	8.62	6.16	3.86	3.97	5.48
2011	송파구	송파구	5.22	8.62	5.9	3.23	3.4	4.93
2011	강동구	강동구	5.34	9	6.2	2.98	3.4	5.14
