기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2017	합계	계	1,180,540	1,009,881	509,816	251,819	18,007	188,113	42,126	170,659
2017	합계	남자	561,524	470,459	259,723	96,864	7,276	83,691	22,905	91,065
2017	합계	여자	619,016	539,422	250,093	154,955	10,731	104,422	19,221	79,594
2017	종로구	계	23,638	19,260	11,234	2,992	887	3,279	868	4,378
2017	종로구	남자	11,594	9,013	5,565	1,282	315	1,407	444	2,581
2017	종로구	여자	12,044	10,247	5,669	1,710	572	1,872	424	1,797
2017	중구	계	20,164	16,111	7,181	5,673	301	2,102	854	4,053
2017	중구	남자	9,826	7,480	3,475	2,384	142	1,027	452	2,346
2017	중구	여자	10,338	8,631	3,706	3,289	159	1,075	402	1,707
2017	용산구	계	33,076	29,320	16,830	6,117	716	5,027	630	3,756
2017	용산구	남자	15,176	13,023	7,833	2,331	295	2,232	332	2,153
2017	용산구	여자	17,900	16,297	8,997	3,786	421	2,795	298	1,603
2017	성동구	계	39,067	34,689	19,183	10,705	256	3,006	1,539	4,378
2017	성동구	남자	19,964	17,508	10,794	4,285	96	1,458	875	2,456
2017	성동구	여자	19,103	17,181	8,389	6,420	160	1,548	664	1,922
2017	광진구	계	54,866	49,303	34,026	3,512	566	8,835	2,364	5,563
2017	광진구	남자	26,630	23,733	16,999	1,415	219	3,850	1,250	2,897
2017	광진구	여자	28,236	25,570	17,027	2,097	347	4,985	1,114	2,666
2017	동대문구	계	54,030	46,323	28,911	9,638	629	4,713	2,432	7,707
2017	동대문구	남자	27,638	23,324	15,375	3,941	290	2,396	1,322	4,314
2017	동대문구	여자	26,392	22,999	13,536	5,697	339	2,317	1,110	3,393
2017	중랑구	계	47,543	44,488	29,030	7,470	773	5,812	1,403	3,055
2017	중랑구	남자	24,000	22,236	15,574	2,850	331	2,712	769	1,764
2017	중랑구	여자	23,543	22,252	13,456	4,620	442	3,100	634	1,291
2017	성북구	계	54,243	49,522	28,424	10,249	1,131	6,953	2,765	4,721
2017	성북구	남자	24,560	22,237	13,503	3,938	484	2,983	1,329	2,323
2017	성북구	여자	29,683	27,285	14,921	6,311	647	3,970	1,436	2,398
2017	강북구	계	39,082	36,431	20,371	5,954	886	8,294	926	2,651
2017	강북구	남자	17,809	16,278	9,776	2,179	336	3,507	480	1,531
2017	강북구	여자	21,273	20,153	10,595	3,775	550	4,787	446	1,120
2017	도봉구	계	29,469	27,144	11,849	8,970	589	5,180	556	2,325
2017	도봉구	남자	13,093	11,734	5,907	3,068	243	2,214	302	1,359
2017	도봉구	여자	16,376	15,410	5,942	5,902	346	2,966	254	966
2017	노원구	계	49,265	46,970	11,737	29,566	640	4,164	863	2,295
2017	노원구	남자	20,740	19,298	6,127	10,388	291	1,992	500	1,442
2017	노원구	여자	28,525	27,672	5,610	19,178	349	2,172	363	853
2017	은평구	계	46,535	40,615	17,315	6,987	851	14,439	1,023	5,920
