기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2016	합계	계	1,138,860	989,460	515,463	240,673	17,518	174,169	41,637	149,400
2016	합계	남자	544,607	464,271	262,455	93,565	7,190	78,343	22,718	80,336
2016	합계	여자	594,253	525,189	253,008	147,108	10,328	95,826	18,919	69,064
2016	종로구	계	22,835	18,970	11,376	2,588	877	3,326	803	3,865
2016	종로구	남자	11,185	8,876	5,590	1,137	322	1,424	403	2,309
2016	종로구	여자	11,650	10,094	5,786	1,451	555	1,902	400	1,556
2016	중구	계	19,671	16,033	7,441	5,486	309	2,052	745	3,638
2016	중구	남자	9,730	7,621	3,722	2,357	150	986	406	2,109
2016	중구	여자	9,941	8,412	3,719	3,129	159	1,066	339	1,529
2016	용산구	계	31,641	28,184	16,604	5,637	684	4,690	569	3,457
2016	용산구	남자	14,511	12,454	7,752	2,107	281	2,045	269	2,057
2016	용산구	여자	17,130	15,730	8,852	3,530	403	2,645	300	1,400
2016	성동구	계	37,074	33,077	19,203	9,332	257	2,776	1,509	3,997
2016	성동구	남자	19,129	16,830	10,782	3,699	105	1,413	831	2,299
2016	성동구	여자	17,945	16,247	8,421	5,633	152	1,363	678	1,698
2016	광진구	계	53,169	48,369	33,922	3,461	515	8,214	2,257	4,800
2016	광진구	남자	25,927	23,419	16,880	1,385	186	3,779	1,189	2,508
2016	광진구	여자	27,242	24,950	17,042	2,076	329	4,435	1,068	2,292
2016	동대문구	계	52,650	45,597	29,177	9,051	599	4,322	2,448	7,053
2016	동대문구	남자	27,103	23,117	15,541	3,783	282	2,164	1,347	3,986
2016	동대문구	여자	25,547	22,480	13,636	5,268	317	2,158	1,101	3,067
2016	중랑구	계	45,717	42,835	28,600	6,891	760	5,271	1,313	2,882
2016	중랑구	남자	23,176	21,500	15,278	2,640	330	2,535	717	1,676
2016	중랑구	여자	22,541	21,335	13,322	4,251	430	2,736	596	1,206
2016	성북구	계	54,117	49,692	29,496	9,688	1,111	6,614	2,783	4,425
2016	성북구	남자	24,615	22,422	13,940	3,687	468	2,910	1,417	2,193
2016	성북구	여자	29,502	27,270	15,556	6,001	643	3,704	1,366	2,232
2016	강북구	계	36,668	34,256	19,573	5,453	824	7,588	818	2,412
2016	강북구	남자	16,871	15,496	9,518	1,964	319	3,254	441	1,375
2016	강북구	여자	19,797	18,760	10,055	3,489	505	4,334	377	1,037
2016	도봉구	계	28,296	26,423	11,819	8,625	618	4,838	523	1,873
2016	도봉구	남자	12,607	11,543	5,938	2,956	268	2,092	289	1,064
2016	도봉구	여자	15,689	14,880	5,881	5,669	350	2,746	234	809
2016	노원구	계	47,641	45,517	11,681	28,519	547	3,879	891	2,124
2016	노원구	남자	20,427	19,109	6,227	10,157	261	1,930	534	1,318
2016	노원구	여자	27,214	26,408	5,454	18,362	286	1,949	357	806
2016	은평구	계	44,440	39,564	17,709	6,507	821	13,535	992	4,876
2016	은평구	남자	19,908	17,469	8,291	2,506	313	5,829	530	2,439
2016	은평구	여자	24,532	22,095	9,418	4,001	508	7,706	462	2,437
2016	서대문구	계	43,298	39,384	22,849	7,099	1,042	7,016	1,378	3,914
2016	서대문구	남자	18,918	17,052	10,289	2,712	431	2,994	626	1,866
2016	서대문구	여자	24,380	22,332	12,560	4,387	611	4,022	752	2,048
2016	마포구	계	53,382	45,531	21,923	10,301	686	10,848	1,773	7,851
2016	마포구	남자	24,004	20,445	10,594	3,997	292	4,649	913	3,559
2016	마포구	여자	29,378	25,086	11,329	6,304	394	6,199	860	4,292
2016	양천구	계	32,878	30,350	13,458	8,520	638	7,218	516	2,528
2016	양천구	남자	15,374	14,043	7,106	3,234	254	3,182	267	1,331
2016	양천구	여자	17,504	16,307	6,352	5,286	384	4,036	249	1,197
2016	강서구	계	60,988	48,003	16,627	18,848	743	10,874	911	12,985
2016	강서구	남자	28,199	22,121	8,583	7,689	286	5,046	517	6,078
2016	강서구	여자	32,789	25,882	8,044	11,159	457	5,828	394	6,907
2016	구로구	계	42,055	30,828	14,825	9,498	1,178	4,443	884	11,227
2016	구로구	남자	21,128	15,050	7,919	4,004	483	2,129	515	6,078
2016	구로구	여자	20,927	15,778	6,906	5,494	695	2,314	369	5,149
2016	금천구	계	31,728	24,991	15,407	4,687	616	3,451	830	6,737
2016	금천구	남자	17,721	13,398	8,644	2,204	274	1,725	551	4,323
2016	금천구	여자	14,007	11,593	6,763	2,483	342	1,726	279	2,414
2016	영등포구	계	49,453	35,190	19,443	10,048	289	3,854	1,556	14,263
2016	영등포구	남자	25,060	17,252	10,025	4,252	119	2,012	844	7,808
2016	영등포구	여자	24,393	17,938	9,418	5,796	170	1,842	712	6,455
2016	동작구	계	52,954	49,363	29,858	8,673	754	7,943	2,135	3,591
2016	동작구	남자	25,960	23,850	15,400	3,404	345	3,617	1,084	2,110
2016	동작구	여자	26,994	25,513	14,458	5,269	409	4,326	1,051	1,481
2016	관악구	계	103,972	87,971	56,162	11,590	988	9,908	9,323	16,001
2016	관악구	남자	55,799	47,257	31,545	4,993	425	4,716	5,578	8,542
2016	관악구	여자	48,173	40,714	24,617	6,597	563	5,192	3,745	7,459
2016	서초구	계	38,357	33,335	13,508	10,722	678	6,947	1,480	5,022
2016	서초구	남자	16,947	14,192	6,199	3,941	256	3,040	756	2,755
2016	서초구	여자	21,410	19,143	7,309	6,781	422	3,907	724	2,267
2016	강남구	계	61,998	53,051	19,523	19,658	1,058	10,662	2,150	8,947
2016	강남구	남자	26,157	21,586	8,612	7,245	391	4,321	1,017	4,571
2016	강남구	여자	35,841	31,465	10,911	12,413	667	6,341	1,133	4,376
2016	송파구	계	54,409	48,070	16,711	11,660	584	17,335	1,780	6,339
2016	송파구	남자	24,833	21,431	8,402	4,301	212	7,564	952	3,402
2016	송파구	여자	29,576	26,639	8,309	7,359	372	9,771	828	2,937
2016	강동구	계	39,469	34,876	18,568	8,131	342	6,565	1,270	4,593
2016	강동구	남자	19,318	16,738	9,678	3,211	137	2,987	725	2,580
2016	강동구	여자	20,151	18,138	8,890	4,920	205	3,578	545	2,013
