기간	자치구	성별	합계	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택(거처)의 종류	주택이외의 거처
기간	자치구	성별	합계	계	단독주택	아파트	연립주택	다세대주택	비거주용 건물내 주택	주택이외의 거처
2010	합계	계	854,606	759,268	468,885	170,339	18,489	83,065	18,490	95,338
2010	합계	남자	404,576	352,932	233,780	64,801	7,803	36,039	10,509	51,644
2010	합계	여자	450,030	406,336	235,105	105,538	10,686	47,026	7,981	43,694
2010	종로구	계	18,156	15,297	10,099	1,517	781	2,328	572	2,859
2010	종로구	남자	8,901	7,354	5,092	592	275	1,043	352	1,547
2010	종로구	여자	9,255	7,943	5,007	925	506	1,285	220	1,312
2010	중구	계	13,909	11,732	6,411	3,001	289	1,385	646	2,177
2010	중구	남자	6,960	5,601	3,115	1,240	128	714	404	1,359
2010	중구	여자	6,949	6,131	3,296	1,761	161	671	242	818
2010	용산구	계	25,846	22,469	13,670	4,609	675	3,008	507	3,377
2010	용산구	남자	11,844	9,852	6,215	1,723	298	1,336	280	1,992
2010	용산구	여자	14,002	12,617	7,455	2,886	377	1,672	227	1,385
2010	성동구	계	27,041	24,594	16,230	5,844	310	1,638	572	2,447
2010	성동구	남자	13,762	12,420	8,916	2,264	140	775	325	1,342
2010	성동구	여자	13,279	12,174	7,314	3,580	170	863	247	1,105
2010	광진구	계	36,411	34,524	28,265	2,075	581	2,660	943	1,887
2010	광진구	남자	17,326	16,435	13,756	804	243	1,159	473	891
2010	광진구	여자	19,085	18,089	14,509	1,271	338	1,501	470	996
2010	동대문구	계	36,897	33,375	24,889	5,052	593	2,035	806	3,522
2010	동대문구	남자	18,719	16,867	13,078	2,025	265	1,055	444	1,852
2010	동대문구	여자	18,178	16,508	11,811	3,027	328	980	362	1,670
2010	중랑구	계	33,324	32,351	25,122	4,232	931	1,400	666	973
2010	중랑구	남자	16,322	15,795	12,719	1,666	418	628	364	527
2010	중랑구	여자	17,002	16,556	12,403	2,566	513	772	302	446
2010	성북구	계	38,652	36,247	24,565	6,665	731	3,272	1,014	2,405
2010	성북구	남자	17,621	16,431	11,412	2,778	328	1,417	496	1,190
2010	성북구	여자	21,031	19,816	13,153	3,887	403	1,855	518	1,215
2010	강북구	계	26,054	24,847	16,086	3,706	663	3,768	624	1,207
2010	강북구	남자	11,415	10,736	7,189	1,372	271	1,542	362	679
2010	강북구	여자	14,639	14,111	8,897	2,334	392	2,226	262	528
2010	도봉구	계	21,233	19,931	9,293	7,233	645	2,505	255	1,302
2010	도봉구	남자	9,133	8,404	4,422	2,531	273	1,035	143	729
2010	도봉구	여자	12,100	11,527	4,871	4,702	372	1,470	112	573
2010	노원구	계	34,290	33,076	7,977	22,853	553	1,329	364	1,214
2010	노원구	남자	13,836	13,209	4,140	8,030	231	578	230	627
2010	노원구	여자	20,454	19,867	3,837	14,823	322	751	134	587
2010	은평구	계	29,795	27,907	14,319	2,997	980	9,185	426	1,888
2010	은평구	남자	13,060	12,144	6,363	1,282	394	3,911	194	916
2010	은평구	여자	16,735	15,763	7,956	1,715	586	5,274	232	972
2010	서대문구	계	29,943	26,763	16,772	4,436	972	4,039	544	3,180
2010	서대문구	남자	13,055	11,718	7,738	1,581	408	1,762	229	1,337
2010	서대문구	여자	16,888	15,045	9,034	2,855	564	2,277	315	1,843
2010	마포구	계	41,109	34,276	20,468	6,846	1,235	4,988	739	6,833
2010	마포구	남자	18,475	15,199	9,529	2,645	485	2,171	369	3,276
2010	마포구	여자	22,634	19,077	10,939	4,201	750	2,817	370	3,557
2010	양천구	계	25,218	23,476	12,609	6,252	839	3,422	354	1,742
2010	양천구	남자	11,290	10,517	6,178	2,351	362	1,420	206	773
2010	양천구	여자	13,928	12,959	6,431	3,901	477	2,002	148	969
2010	강서구	계	41,804	34,871	15,048	12,891	824	5,367	741	6,933
2010	강서구	남자	19,340	15,860	7,573	5,130	353	2,374	430	3,480
2010	강서구	여자	22,464	19,011	7,475	7,761	471	2,993	311	3,453
2010	구로구	계	30,156	23,385	14,252	5,317	1,110	2,239	467	6,771
2010	구로구	남자	15,775	11,883	7,773	2,361	424	1,035	290	3,892
2010	구로구	여자	14,381	11,502	6,479	2,956	686	1,204	177	2,879
2010	금천구	계	23,274	19,368	15,052	2,493	659	788	376	3,906
2010	금천구	남자	13,034	10,470	8,543	1,014	290	368	255	2,564
2010	금천구	여자	10,240	8,898	6,509	1,479	369	420	121	1,342
2010	영등포구	계	34,158	26,289	18,153	5,969	393	1,082	692	7,869
2010	영등포구	남자	17,549	12,731	9,249	2,378	166	516	422	4,818
